datetime,trw_high,trw_low,y_hat_high,y_hat_low
2012-04-12 13:30:00,6.822432000000001,6.614934,6.8770525513694585,6.689908294866261
2012-04-20 13:30:00,6.582435,6.4341029999999995,6.886396745729307,6.702516796861234
2012-04-23 13:30:00,6.6891,6.564934,6.61528867692673,6.3959480731097305
2012-04-24 13:30:00,6.922432000000001,6.816599000000001,6.7972449637561585,6.612726358089487
2012-04-26 13:30:00,7.162428,7.009930000000001,7.119766535626737,7.044618353586494
2012-05-01 13:30:00,7.112430000000001,6.9515970000000005,7.265662087514571,7.108905654400873
2012-05-02 13:30:00,7.104921000000001,6.872431,7.146068703657287,7.026952935855516
2012-05-07 13:30:00,6.5391010000000005,6.264112,6.6301625195200975,6.397854072160577
2012-05-15 13:30:00,6.221604,5.983274,6.208340313172443,6.067861069143824
2012-05-17 13:30:00,5.788276000000001,5.511612,5.981307929090612,5.620072377350863
2012-05-18 13:30:00,5.842442,5.559112,5.770266259693219,5.377070811559389
2012-06-01 13:30:00,5.387445,5.166615,5.5245326087308335,5.21930902576554
2012-06-04 13:30:00,5.4441120000000005,5.2541139999999995,5.372884939657931,5.062151162315655
2012-06-05 13:30:00,5.791608999999999,5.526612,5.516824726389854,5.325735495665588
2012-06-18 13:30:00,6.407286,6.224938,6.1781455821332045,5.95939875464665
2012-06-21 13:30:00,6.036606,5.894108,6.090133324970643,5.843965632202073
2012-06-22 13:30:00,5.830775,5.64621,6.087961070124546,5.978394001093493
2012-06-29 13:30:00,6.422437,6.266604,6.4509208511442555,6.309328798885963
2012-07-02 13:30:00,6.538685,6.382436,6.499367397209512,6.380377463556399
2012-07-05 13:30:00,6.296596,6.166605000000001,6.576986980323799,6.373872426403615
2012-07-09 13:30:00,6.35827,6.008274,6.333279833608145,6.155452010901341
2012-07-25 13:30:00,6.361644999999999,6.203263,6.115272246739313,5.9938979671049335
2012-08-08 13:30:00,6.979097,6.869930999999999,7.019377911216514,6.917955628733112
2012-08-22 13:30:00,7.061597,6.905773,7.144878479013259,7.001545274316289
2012-08-23 13:30:00,7.1057619999999995,6.874099,7.129415852030183,6.818983234262896
2012-08-27 13:30:00,7.109096000000001,6.985763,7.139815594475493,6.984481371585319
2012-08-28 13:30:00,7.117429,7.006597,7.139815594475493,6.998102431697837
2012-09-04 13:30:00,7.041596000000001,6.926597,7.139815594475493,6.913273722020779
2012-09-17 13:30:00,7.858255000000001,7.7699229999999995,7.901839024955832,7.741568377600287
